"time","newInfectors","newInfections","r","sevenDayAverageR"
25.0,392,167,0.4260204081632653,0.652316560999459
25.5,395,149,0.37721518987341773,0.6192605031332745
26.0,292,103,0.3527397260273973,0.5793587952521146
26.5,324,120,0.37037037037037035,0.5395745054678248
27.0,276,119,0.4311594202898551,0.514739738785232
27.5,235,73,0.31063829787234043,0.4787649233271339
28.0,301,105,0.3488372093023256,0.4566345745184174
28.5,286,52,0.18181818181818182,0.4211325765164194
29.0,280,61,0.21785714285714286,0.39224935656177085
29.5,230,73,0.3173913043478261,0.3725596615319851
30.0,195,47,0.24102564102564103,0.35635371427013723
30.5,209,45,0.215311004784689,0.3348430070869154
31.0,163,42,0.25766871165644173,0.3232226306123124
31.5,180,30,0.16666666666666666,0.3010513767896824
32.0,148,28,0.1891891891891892,0.28413486114867703
32.5,117,28,0.23931623931623933,0.27428493610887855
33.0,105,21,0.2,0.2633749556783502
33.5,77,23,0.2987012987012987,0.25825573627341647
34.0,75,8,0.10666666666666667,0.23507768244318875
34.5,56,10,0.17857142857142858,0.22564433463598071
35.0,94,24,0.2553191489361702,0.2189644731812553
35.5,80,15,0.1875,0.2193703173370995
36.0,69,12,0.17391304347826086,0.21623145309575076
36.5,56,17,0.30357142857142855,0.21524431911172234
37.0,56,7,0.125,0.20695677332417656
37.5,56,11,0.19642857142857142,0.2056080280844539
38.0,40,9,0.225,0.20327454868042236
38.5,36,10,0.2777777777777778,0.2112110566169303
39.0,36,4,0.1111111111111111,0.20563405103992474
39.5,46,11,0.2391304347826087,0.20562077928752256
40.0,26,3,0.11538461538461539,0.1995768232435665
40.5,16,3,0.1875,0.1916338733363309
41.0,22,1,0.045454545454545456,0.18726157896403653
41.5,22,3,0.13636363636363635,0.18424673666347993
42.0,26,4,0.15384615384615385,0.17699866558562163
42.5,25,5,0.2,0.17789152272847877
43.0,15,5,0.3333333333333333,0.1892786862895554
43.5,19,6,0.3157894736842105,0.19015140379761128
44.0,18,4,0.2222222222222222,0.19709584824205573
44.5,16,1,0.0625,0.18752952171144346
45.0,16,3,0.1875,0.18485095028287205
45.5,8,4,0.5,0.20072396615588792
46.0,13,1,0.07692307692307693,0.19828196371388548
46.5,9,1,0.1111111111111111,0.1891377263087785
47.0,13,2,0.15384615384615385,0.19188497905603125
47.5,6,2,0.3333333333333333,0.2023016457226979
48.0,7,0,0.0,0.19905489247594468
48.5,4,2,0.5,0.22502891844997067
49.0,6,2,0.3333333333333333,0.2378494312704835
49.5,8,3,0.375,0.2503494312704835
50.0,5,0,0.0,0.22653990746095967
50.5,3,0,0.0,0.20398351648351604
51.0,2,1,0.5,0.2238247863247859
51.5,4,2,0.5,0.25507478632478586
52.0,1,0,0.0,0.24168192918192874
52.5,4,1,0.25,0.2238247863247859
53.0,4,0,0.0,0.21833028083028036
53.5,4,1,0.25,0.2282509157509153
54.0,2,0,0.0,0.2172619047619043
54.5,2,0,0.0,0.1934523809523805
55.0,3,4,1.3333333333333333,0.2886904761904757
55.5,1,0,0.0,0.25297619047618997
56.0,2,1,0.5,0.2648809523809519
56.5,1,0,0.0,0.2380952380952376
57.5,5,2,0.4,0.26666666666666616
58.0,1,0,0.0,0.26666666666666616
58.5,4,1,0.25,0.24880952380952331
59.0,1,0,0.0,0.2130952380952376
59.5,2,1,0.5,0.24880952380952331
60.5,1,0,0.0,0.23095238095238044
61.0,1,1,1.0,0.30238095238095186
62.0,2,0,0.0,0.284523809523809
62.5,1,0,0.0,0.284523809523809
63.0,1,1,1.0,0.35595238095238046
64.5,1,0,0.0,0.26071428571428523
65.5,1,0,0.0,0.26071428571428523
66.5,2,0,0.0,0.2249999999999995
67.5,2,2,1.0,0.29642857142857093
71.5,1,0,0.0,0.2678571428571424
72.5,1,1,1.0,0.3392857142857138
74.0,1,1,1.0,0.39285714285714235
75.5,1,1,1.0,0.4642857142857138
81.5,1,0,0.0,0.42857142857142805
84.0,1,0,0.0,0.42857142857142805
89.5,1,0,0.0,0.35714285714285665
